id_siniestro,id_poliza,fecha_siniestro,monto_siniestro,estado,motivo_rechazo
85,7153,,5079.34,nan,fecha_invalida
86,25554,,,nan,"fecha_invalida,monto_invalido"
87,23591,,1777.81,ABIERTO,fecha_invalida
88,14027,,10253.14,ABIERTO,fecha_invalida
89,12761,,,ABIERTO,"fecha_invalida,monto_invalido"
90,21277,,6602.43,Rechazado,fecha_invalida
91,80,,,ABIERTO,"fecha_invalida,monto_invalido"
92,13736,,,nan,"fecha_invalida,monto_invalido"
94,15160,,,nan,"fecha_invalida,monto_invalido"
96,17713,,,Abierto,"fecha_invalida,monto_invalido"
97,13086,,,Rechazado,"fecha_invalida,monto_invalido"
98,19925,,,nan,"fecha_invalida,monto_invalido"
99,18399,2025-06-27,,Cerrado,monto_invalido
100,24052,,,nan,"fecha_invalida,monto_invalido"
102,8858,,5155.2,Cerrado,fecha_invalida
103,19170,,10183.94,nan,fecha_invalida
104,1153,,2580.4,nan,fecha_invalida
106,2501,,511.1,ABIERTO,fecha_invalida
107,17613,,11560.34,nan,fecha_invalida
108,1500,,,ABIERTO,"fecha_invalida,monto_invalido"
109,9413,,,Cerrado,"fecha_invalida,monto_invalido"
110,16745,,8484.21,Abierto,fecha_invalida
111,2641,,11886.43,cerrado,fecha_invalida
112,6548,,13134.7,cerrado,fecha_invalida
113,8649,,10126.28,Abierto,fecha_invalida
114,5370,2025-03-10,,cerrado,monto_invalido
115,24834,,12189.58,ABIERTO,fecha_invalida
116,8222,,,Abierto,"fecha_invalida,monto_invalido"
117,12941,2025-12-12,,ABIERTO,monto_invalido
118,21719,,,ABIERTO,"fecha_invalida,monto_invalido"
119,1874,,,nan,"fecha_invalida,monto_invalido"
120,21805,,,Abierto,"fecha_invalida,monto_invalido"
121,3645,,13084.42,Rechazado,fecha_invalida
122,16832,,7489.48,nan,fecha_invalida
123,8567,,5749.7,Rechazado,fecha_invalida
124,4535,,9389.56,nan,fecha_invalida
125,17509,,1154.08,Cerrado,fecha_invalida
126,13007,,13629.62,Rechazado,fecha_invalida
127,424,,1595.62,cerrado,fecha_invalida
128,24167,,,nan,"fecha_invalida,monto_invalido"
129,8836,,1652.79,Abierto,fecha_invalida
130,14357,,,Rechazado,"fecha_invalida,monto_invalido"
131,21837,,,nan,"fecha_invalida,monto_invalido"
132,1290,,,nan,"fecha_invalida,monto_invalido"
133,5720,,,Abierto,"fecha_invalida,monto_invalido"
134,7223,,,Abierto,"fecha_invalida,monto_invalido"
135,24992,,302.32,Abierto,fecha_invalida
136,9670,,,cerrado,"fecha_invalida,monto_invalido"
137,23959,,13295.74,Cerrado,fecha_invalida
138,22384,,,Abierto,"fecha_invalida,monto_invalido"
139,21305,,12134.64,Rechazado,fecha_invalida
140,21427,,,Abierto,"fecha_invalida,monto_invalido"
141,25512,,,ABIERTO,"fecha_invalida,monto_invalido"
142,14587,,,ABIERTO,"fecha_invalida,monto_invalido"
143,2790,2025-10-13,,Rechazado,monto_invalido
144,7956,,,ABIERTO,"fecha_invalida,monto_invalido"
145,5744,,3902.65,Abierto,fecha_invalida
147,3192,,9549.21,cerrado,fecha_invalida
148,9556,,,cerrado,"fecha_invalida,monto_invalido"
149,9146,,2981.78,ABIERTO,fecha_invalida
150,14981,2025-01-31,,Rechazado,monto_invalido
151,2464,,,Cerrado,"fecha_invalida,monto_invalido"
152,22723,2025-09-09,,Abierto,monto_invalido
153,7402,,,Abierto,"fecha_invalida,monto_invalido"
154,11333,,,nan,"fecha_invalida,monto_invalido"
155,17654,,13419.79,nan,fecha_invalida
156,16853,2025-03-09,,ABIERTO,monto_invalido
157,22187,,4984.64,cerrado,fecha_invalida
158,8637,,12772.25,Rechazado,fecha_invalida
159,2123,2025-11-12,,Cerrado,monto_invalido
161,12821,,1663.96,nan,fecha_invalida
162,17558,,2904.94,ABIERTO,fecha_invalida
163,3344,,,cerrado,"fecha_invalida,monto_invalido"
164,3953,,14622.5,Cerrado,fecha_invalida
165,3478,,,cerrado,"fecha_invalida,monto_invalido"
166,3400,,11123.38,nan,fecha_invalida
167,19661,,5398.38,cerrado,fecha_invalida
168,6501,,3552.32,cerrado,fecha_invalida
169,23178,,4944.75,cerrado,fecha_invalida
170,14794,,,ABIERTO,"fecha_invalida,monto_invalido"
171,6401,,,Rechazado,"fecha_invalida,monto_invalido"
172,10449,,,Abierto,"fecha_invalida,monto_invalido"
173,11295,2025-04-24,,Rechazado,monto_invalido
174,25761,,,Rechazado,"fecha_invalida,monto_invalido"
176,14992,,7840.46,ABIERTO,fecha_invalida
177,15938,,13797.55,nan,fecha_invalida
178,22497,,,cerrado,"fecha_invalida,monto_invalido"
179,12699,,,nan,"fecha_invalida,monto_invalido"
180,13273,,14255.51,nan,fecha_invalida
181,3779,,,Abierto,"fecha_invalida,monto_invalido"
182,6051,,,ABIERTO,"fecha_invalida,monto_invalido"
183,15820,,,Rechazado,"fecha_invalida,monto_invalido"
185,23960,,2485.0,cerrado,fecha_invalida
186,14257,2026-01-14,,Abierto,monto_invalido
187,17116,,,Rechazado,"fecha_invalida,monto_invalido"
188,9285,,,nan,"fecha_invalida,monto_invalido"
189,11691,,,Abierto,"fecha_invalida,monto_invalido"
190,15565,,,ABIERTO,"fecha_invalida,monto_invalido"
192,24819,2025-12-07,,ABIERTO,monto_invalido
193,19056,2025-12-02,,ABIERTO,monto_invalido
194,13685,,8942.15,ABIERTO,fecha_invalida
195,3021,,1043.99,Rechazado,fecha_invalida
196,4434,,,cerrado,"fecha_invalida,monto_invalido"
197,5812,,,nan,"fecha_invalida,monto_invalido"
198,3833,,,Rechazado,"fecha_invalida,monto_invalido"
199,15158,,,ABIERTO,"fecha_invalida,monto_invalido"
201,10253,,,nan,"fecha_invalida,monto_invalido"
202,6793,2025-08-30,,Cerrado,monto_invalido
203,21133,,4564.31,Rechazado,fecha_invalida
204,11440,,,Rechazado,"fecha_invalida,monto_invalido"
205,15065,,,Cerrado,"fecha_invalida,monto_invalido"
207,10666,,,ABIERTO,"fecha_invalida,monto_invalido"
208,5006,,,cerrado,"fecha_invalida,monto_invalido"
209,16837,,11810.11,nan,fecha_invalida
210,14034,,,cerrado,"fecha_invalida,monto_invalido"
211,18427,2025-12-18,,Cerrado,monto_invalido
212,14352,,,nan,"fecha_invalida,monto_invalido"
213,1279,2025-02-07,,Rechazado,monto_invalido
214,16890,,,ABIERTO,"fecha_invalida,monto_invalido"
216,8726,,,nan,"fecha_invalida,monto_invalido"
217,14431,,,Abierto,"fecha_invalida,monto_invalido"
219,25727,,,Cerrado,"fecha_invalida,monto_invalido"
220,2535,,,Abierto,"fecha_invalida,monto_invalido"
221,2986,,9139.78,Cerrado,fecha_invalida
222,13632,,14814.18,cerrado,fecha_invalida
223,2629,,,nan,"fecha_invalida,monto_invalido"
224,19260,,,Abierto,"fecha_invalida,monto_invalido"
225,19366,,851.04,nan,fecha_invalida
226,12950,,,cerrado,"fecha_invalida,monto_invalido"
228,9398,,,Abierto,"fecha_invalida,monto_invalido"
229,16087,,,Cerrado,"fecha_invalida,monto_invalido"
230,19159,,,cerrado,"fecha_invalida,monto_invalido"
231,16670,,12582.5,Rechazado,fecha_invalida
232,3014,,9726.96,Cerrado,fecha_invalida
233,11033,,9170.56,ABIERTO,fecha_invalida
234,16501,,,nan,"fecha_invalida,monto_invalido"
235,23798,,,Abierto,"fecha_invalida,monto_invalido"
236,22678,2025-11-11,,ABIERTO,monto_invalido
237,24184,,,nan,"fecha_invalida,monto_invalido"
238,19973,,,Rechazado,"fecha_invalida,monto_invalido"
239,22979,,,Cerrado,"fecha_invalida,monto_invalido"
240,15810,,,Rechazado,"fecha_invalida,monto_invalido"
241,20874,2025-01-29,,cerrado,monto_invalido
242,10437,,14596.52,Rechazado,fecha_invalida
243,9965,,4275.37,nan,fecha_invalida
244,3256,,,ABIERTO,"fecha_invalida,monto_invalido"
245,5447,,,Abierto,"fecha_invalida,monto_invalido"
246,11329,,11681.88,ABIERTO,fecha_invalida
247,23410,,8598.25,nan,fecha_invalida
248,11871,,804.82,cerrado,fecha_invalida
249,18003,,14986.14,nan,fecha_invalida
250,2158,,,ABIERTO,"fecha_invalida,monto_invalido"
251,21022,2025-07-18,,Rechazado,monto_invalido
252,2267,,12762.64,ABIERTO,fecha_invalida
253,1765,,10785.64,Abierto,fecha_invalida
254,22116,,,Cerrado,"fecha_invalida,monto_invalido"
255,24181,2025-02-09,,nan,monto_invalido
256,1939,,7149.72,nan,fecha_invalida
257,15563,,7905.89,cerrado,fecha_invalida
258,7251,,,Abierto,"fecha_invalida,monto_invalido"
259,19809,,10058.57,Cerrado,fecha_invalida
260,17781,,14206.04,nan,fecha_invalida
261,9851,,,Rechazado,"fecha_invalida,monto_invalido"
262,17232,,,ABIERTO,"fecha_invalida,monto_invalido"
263,6744,,,ABIERTO,"fecha_invalida,monto_invalido"
264,13686,,,ABIERTO,"fecha_invalida,monto_invalido"
265,217,,,ABIERTO,"fecha_invalida,monto_invalido"
266,18359,,,Rechazado,"fecha_invalida,monto_invalido"
267,13995,,6273.55,nan,fecha_invalida
268,18702,,5803.93,Abierto,fecha_invalida
269,20302,,,nan,"fecha_invalida,monto_invalido"
270,21104,,8284.25,ABIERTO,fecha_invalida
271,16423,,,nan,"fecha_invalida,monto_invalido"
272,11306,,,ABIERTO,"fecha_invalida,monto_invalido"
273,14467,,2855.89,Abierto,fecha_invalida
274,22521,,6246.09,nan,fecha_invalida
275,19524,,10334.68,Abierto,fecha_invalida
276,24025,,12873.15,Cerrado,fecha_invalida
277,4835,,,nan,"fecha_invalida,monto_invalido"
278,12350,,,nan,"fecha_invalida,monto_invalido"
279,8178,,10418.51,Rechazado,fecha_invalida
280,3145,,,nan,"fecha_invalida,monto_invalido"
282,11387,,5370.01,cerrado,fecha_invalida
283,17276,,8841.01,nan,fecha_invalida
284,4685,,,Abierto,"fecha_invalida,monto_invalido"
285,17418,,5091.35,Abierto,fecha_invalida
286,14149,,,Abierto,"fecha_invalida,monto_invalido"
287,17519,,,Rechazado,"fecha_invalida,monto_invalido"
288,19817,,,Abierto,"fecha_invalida,monto_invalido"
289,2525,,6583.18,Cerrado,fecha_invalida
290,23857,,,Cerrado,"fecha_invalida,monto_invalido"
291,367,,9606.53,nan,fecha_invalida
293,10362,,,nan,"fecha_invalida,monto_invalido"
294,21932,,9926.07,Abierto,fecha_invalida
295,11353,,566.0,ABIERTO,fecha_invalida
296,2362,2026-01-11,,Rechazado,monto_invalido
297,7821,,,cerrado,"fecha_invalida,monto_invalido"
298,6809,,1486.47,nan,fecha_invalida
299,11447,2026-02-08,,cerrado,monto_invalido
300,13999,,331.95,Abierto,fecha_invalida
301,19710,,,Cerrado,"fecha_invalida,monto_invalido"
302,22748,,5352.07,nan,fecha_invalida
303,1719,,,ABIERTO,"fecha_invalida,monto_invalido"
304,2036,,8381.86,cerrado,fecha_invalida
305,13740,,,Abierto,"fecha_invalida,monto_invalido"
306,11979,,3782.57,nan,fecha_invalida
307,9896,,9098.49,nan,fecha_invalida
309,22223,,,Cerrado,"fecha_invalida,monto_invalido"
310,18660,,7735.22,nan,fecha_invalida
312,15669,2026-02-05,,Abierto,monto_invalido
313,12886,,,ABIERTO,"fecha_invalida,monto_invalido"
314,6169,2025-08-08,,Cerrado,monto_invalido
316,19243,,2098.28,nan,fecha_invalida
317,7504,2025-12-06,,nan,monto_invalido
318,18504,,14001.5,Cerrado,fecha_invalida
319,4709,,,cerrado,"fecha_invalida,monto_invalido"
320,17508,,,ABIERTO,"fecha_invalida,monto_invalido"
321,15003,,4359.69,ABIERTO,fecha_invalida
322,19178,,,ABIERTO,"fecha_invalida,monto_invalido"
323,17082,,,nan,"fecha_invalida,monto_invalido"
325,25648,2025-11-14,,nan,monto_invalido
327,8526,,13905.74,Rechazado,fecha_invalida
328,19746,,6693.43,Abierto,fecha_invalida
329,23344,,10541.76,Abierto,fecha_invalida
330,13177,2025-03-09,,nan,monto_invalido
331,16704,,,nan,"fecha_invalida,monto_invalido"
333,21160,,,Abierto,"fecha_invalida,monto_invalido"
334,12046,,2537.12,ABIERTO,fecha_invalida
335,12406,,319.52,Cerrado,fecha_invalida
336,23055,2025-12-29,,nan,monto_invalido
337,15288,,,nan,"fecha_invalida,monto_invalido"
338,13062,,,nan,"fecha_invalida,monto_invalido"
339,8768,,2863.49,Abierto,fecha_invalida
340,4853,,,ABIERTO,"fecha_invalida,monto_invalido"
341,21940,,,nan,"fecha_invalida,monto_invalido"
342,5070,,6723.23,nan,fecha_invalida
343,25543,,,cerrado,"fecha_invalida,monto_invalido"
344,9611,,2147.03,cerrado,fecha_invalida
345,5702,,10398.23,ABIERTO,fecha_invalida
346,16953,,,cerrado,"fecha_invalida,monto_invalido"
347,18616,,,cerrado,"fecha_invalida,monto_invalido"
348,3786,,,nan,"fecha_invalida,monto_invalido"
349,18539,,,Cerrado,"fecha_invalida,monto_invalido"
351,4779,,,Cerrado,"fecha_invalida,monto_invalido"
352,5401,2025-11-09,,Rechazado,monto_invalido
353,21230,2025-10-14,,Abierto,monto_invalido
354,23874,,12544.63,Rechazado,fecha_invalida
355,23407,2025-08-09,,cerrado,monto_invalido
356,21703,2025-08-01,,ABIERTO,monto_invalido
357,3742,,,nan,"fecha_invalida,monto_invalido"
358,5810,2025-11-18,,nan,monto_invalido
359,12112,,2073.55,ABIERTO,fecha_invalida
360,24056,,7083.76,Rechazado,fecha_invalida
361,16268,,13927.17,ABIERTO,fecha_invalida
362,18426,,,ABIERTO,"fecha_invalida,monto_invalido"
363,21311,,9959.61,Abierto,fecha_invalida
364,16748,2025-08-24,,nan,monto_invalido
365,18228,,13973.16,Cerrado,fecha_invalida
367,942,2025-07-05,,ABIERTO,monto_invalido
368,14823,,1629.44,Abierto,fecha_invalida
369,15818,,434.28,ABIERTO,fecha_invalida
370,20114,,,ABIERTO,"fecha_invalida,monto_invalido"
372,941,,10846.29,Abierto,fecha_invalida
373,16241,,,Cerrado,"fecha_invalida,monto_invalido"
374,24381,,,Abierto,"fecha_invalida,monto_invalido"
375,3784,,,cerrado,"fecha_invalida,monto_invalido"
377,19938,,,Abierto,"fecha_invalida,monto_invalido"
378,4586,,2051.08,Abierto,fecha_invalida
379,19394,,,cerrado,"fecha_invalida,monto_invalido"
380,19177,2025-11-20,,nan,monto_invalido
381,18189,,,Cerrado,"fecha_invalida,monto_invalido"
382,13149,,5788.34,nan,fecha_invalida
383,3726,,,Cerrado,"fecha_invalida,monto_invalido"
385,3696,,2099.51,nan,fecha_invalida
386,20394,2026-01-19,,nan,monto_invalido
388,8625,,4076.28,nan,fecha_invalida
389,21668,,11042.25,ABIERTO,fecha_invalida
390,840,,10747.46,ABIERTO,fecha_invalida
391,24690,,5736.62,nan,fecha_invalida
392,20920,,,cerrado,"fecha_invalida,monto_invalido"
393,19824,,,nan,"fecha_invalida,monto_invalido"
394,7220,2025-07-25,,nan,monto_invalido
396,986,,,ABIERTO,"fecha_invalida,monto_invalido"
397,22624,,,cerrado,"fecha_invalida,monto_invalido"
398,10478,,,Abierto,"fecha_invalida,monto_invalido"
399,1386,,1160.69,ABIERTO,fecha_invalida
400,6936,2025-08-02,,nan,monto_invalido
401,12559,,,Rechazado,"fecha_invalida,monto_invalido"
402,22663,2025-04-29,,nan,monto_invalido
403,9469,,,Cerrado,"fecha_invalida,monto_invalido"
404,4048,,,nan,"fecha_invalida,monto_invalido"
405,17081,,,Abierto,"fecha_invalida,monto_invalido"
406,13593,,1225.41,cerrado,fecha_invalida
407,15499,,,ABIERTO,"fecha_invalida,monto_invalido"
408,15018,,13987.17,nan,fecha_invalida
409,4598,,14385.55,ABIERTO,fecha_invalida
410,20008,,,nan,"fecha_invalida,monto_invalido"
411,15930,,,Abierto,"fecha_invalida,monto_invalido"
412,1661,2025-05-01,,Abierto,monto_invalido
413,15474,,,cerrado,"fecha_invalida,monto_invalido"
415,10705,,,nan,"fecha_invalida,monto_invalido"
416,1066,,2268.69,Rechazado,fecha_invalida
417,24940,,,ABIERTO,"fecha_invalida,monto_invalido"
418,19027,,,Abierto,"fecha_invalida,monto_invalido"
419,11189,2025-07-19,,Cerrado,monto_invalido
420,15208,,14567.87,Rechazado,fecha_invalida
421,5615,,,nan,"fecha_invalida,monto_invalido"
422,9973,,,ABIERTO,"fecha_invalida,monto_invalido"
423,11261,,,Abierto,"fecha_invalida,monto_invalido"
424,11599,,,Cerrado,"fecha_invalida,monto_invalido"
425,6477,,11168.31,ABIERTO,fecha_invalida
426,24821,,,Cerrado,"fecha_invalida,monto_invalido"
427,19205,,,nan,"fecha_invalida,monto_invalido"
428,20511,,,nan,"fecha_invalida,monto_invalido"
429,10083,2025-08-08,,nan,monto_invalido
430,9420,,,Rechazado,"fecha_invalida,monto_invalido"
431,16556,,,Cerrado,"fecha_invalida,monto_invalido"
432,3991,,12934.03,Cerrado,fecha_invalida
433,13660,,4257.18,Rechazado,fecha_invalida
434,9923,,,Cerrado,"fecha_invalida,monto_invalido"
435,15659,,,nan,"fecha_invalida,monto_invalido"
436,4058,,,nan,"fecha_invalida,monto_invalido"
437,23431,,9923.03,Rechazado,fecha_invalida
438,20439,,,cerrado,"fecha_invalida,monto_invalido"
439,23475,,,nan,"fecha_invalida,monto_invalido"
440,16397,,,Rechazado,"fecha_invalida,monto_invalido"
441,22684,,10554.36,Rechazado,fecha_invalida
442,25876,,,Rechazado,"fecha_invalida,monto_invalido"
444,23715,,,nan,"fecha_invalida,monto_invalido"
445,7801,2025-01-27,,Rechazado,monto_invalido
446,849,,966.15,nan,fecha_invalida
448,13756,,,Cerrado,"fecha_invalida,monto_invalido"
449,10005,,9876.19,Abierto,fecha_invalida
450,18661,,,Rechazado,"fecha_invalida,monto_invalido"
451,3111,,12498.73,Cerrado,fecha_invalida
453,14614,2025-12-10,,nan,monto_invalido
454,18671,,14655.73,nan,fecha_invalida
455,11674,2025-05-22,,cerrado,monto_invalido
456,6812,,,nan,"fecha_invalida,monto_invalido"
457,4234,2025-10-22,,Rechazado,monto_invalido
458,22894,,,nan,"fecha_invalida,monto_invalido"
459,19084,,11662.9,nan,fecha_invalida
460,9557,,,nan,"fecha_invalida,monto_invalido"
461,9517,,,nan,"fecha_invalida,monto_invalido"
462,1370,,2238.16,Rechazado,fecha_invalida
463,1315,,,cerrado,"fecha_invalida,monto_invalido"
464,7665,,,ABIERTO,"fecha_invalida,monto_invalido"
465,4729,,13763.87,Cerrado,fecha_invalida
466,19556,,,cerrado,"fecha_invalida,monto_invalido"
467,12477,,12448.85,Cerrado,fecha_invalida
468,7145,,,Rechazado,"fecha_invalida,monto_invalido"
470,7885,,9856.68,Cerrado,fecha_invalida
472,4686,,7740.48,Abierto,fecha_invalida
473,6110,2025-02-02,,Rechazado,monto_invalido
474,12213,,,nan,"fecha_invalida,monto_invalido"
475,13039,,,nan,"fecha_invalida,monto_invalido"
476,4147,,,Rechazado,"fecha_invalida,monto_invalido"
477,23464,,,Rechazado,"fecha_invalida,monto_invalido"
478,15010,,11687.78,Abierto,fecha_invalida
479,4770,,,Cerrado,"fecha_invalida,monto_invalido"
480,23674,,,nan,"fecha_invalida,monto_invalido"
481,5991,,,Rechazado,"fecha_invalida,monto_invalido"
482,18388,2025-11-03,,Cerrado,monto_invalido
483,1067,,,nan,"fecha_invalida,monto_invalido"
484,10177,,9795.3,Rechazado,fecha_invalida
485,23236,,,nan,"fecha_invalida,monto_invalido"
486,16519,,,Cerrado,"fecha_invalida,monto_invalido"
487,21900,2025-11-02,,Abierto,monto_invalido
488,7922,2025-08-05,,Abierto,monto_invalido
489,6169,,,cerrado,"fecha_invalida,monto_invalido"
490,9596,,-6745.26,nan,fecha_invalida
491,10798,,11866.01,cerrado,fecha_invalida
493,12637,2025-01-24,,nan,monto_invalido
494,4271,2025-09-12,,Cerrado,monto_invalido
495,3898,,,nan,"fecha_invalida,monto_invalido"
496,9321,,,ABIERTO,"fecha_invalida,monto_invalido"
497,17866,,,nan,"fecha_invalida,monto_invalido"
498,16934,,,nan,"fecha_invalida,monto_invalido"
500,24173,,,Rechazado,"fecha_invalida,monto_invalido"
501,1935,,9456.55,Abierto,fecha_invalida
503,13990,,,cerrado,"fecha_invalida,monto_invalido"
504,12911,,,ABIERTO,"fecha_invalida,monto_invalido"
505,9535,,,Rechazado,"fecha_invalida,monto_invalido"
506,23610,,,nan,"fecha_invalida,monto_invalido"
507,14126,,7410.93,nan,fecha_invalida
508,11505,,,nan,"fecha_invalida,monto_invalido"
509,9632,,11512.22,nan,fecha_invalida
510,24704,,,Abierto,"fecha_invalida,monto_invalido"
511,9290,,2170.06,nan,fecha_invalida
512,25808,,,ABIERTO,"fecha_invalida,monto_invalido"
513,19811,,,ABIERTO,"fecha_invalida,monto_invalido"
514,749,,,Abierto,"fecha_invalida,monto_invalido"
515,7931,,7142.51,ABIERTO,fecha_invalida
516,18551,2025-03-01,,nan,monto_invalido
517,19123,,,Rechazado,"fecha_invalida,monto_invalido"
518,5192,,,Cerrado,"fecha_invalida,monto_invalido"
519,2775,,11906.59,Abierto,fecha_invalida
520,17065,,,ABIERTO,"fecha_invalida,monto_invalido"
521,2027,,,ABIERTO,"fecha_invalida,monto_invalido"
522,8459,,5956.22,ABIERTO,fecha_invalida
524,3266,,,ABIERTO,"fecha_invalida,monto_invalido"
525,9683,,,Cerrado,"fecha_invalida,monto_invalido"
526,6685,,,Cerrado,"fecha_invalida,monto_invalido"
527,17205,,12224.81,Cerrado,fecha_invalida
528,21844,,,nan,"fecha_invalida,monto_invalido"
529,1551,,,cerrado,"fecha_invalida,monto_invalido"
531,16681,,,Cerrado,"fecha_invalida,monto_invalido"
532,13554,,,Rechazado,"fecha_invalida,monto_invalido"
533,1400,,778.9,ABIERTO,fecha_invalida
534,13893,,,Abierto,"fecha_invalida,monto_invalido"
535,17558,,,Cerrado,"fecha_invalida,monto_invalido"
536,1687,,,Abierto,"fecha_invalida,monto_invalido"
537,10763,,,cerrado,"fecha_invalida,monto_invalido"
538,16568,2026-02-21,,cerrado,monto_invalido
539,15629,,,ABIERTO,"fecha_invalida,monto_invalido"
540,24874,,6239.3,Rechazado,fecha_invalida
541,17082,,12640.91,nan,fecha_invalida
542,13402,2025-02-07,,nan,monto_invalido
543,22193,,,nan,"fecha_invalida,monto_invalido"
544,13123,,,ABIERTO,"fecha_invalida,monto_invalido"
545,14630,,965.14,cerrado,fecha_invalida
546,2269,,6320.76,cerrado,fecha_invalida
547,18971,,13821.43,ABIERTO,fecha_invalida
548,320,,,nan,"fecha_invalida,monto_invalido"
549,10771,,,ABIERTO,"fecha_invalida,monto_invalido"
550,25667,,,ABIERTO,"fecha_invalida,monto_invalido"
551,21438,,,Abierto,"fecha_invalida,monto_invalido"
552,2165,,11024.33,cerrado,fecha_invalida
553,21888,,3112.17,Cerrado,fecha_invalida
554,25784,2025-05-10,,cerrado,monto_invalido
555,17858,2025-01-16,,cerrado,monto_invalido
556,6947,,,Abierto,"fecha_invalida,monto_invalido"
557,6868,,,Cerrado,"fecha_invalida,monto_invalido"
558,21780,,,Cerrado,"fecha_invalida,monto_invalido"
559,24920,,,nan,"fecha_invalida,monto_invalido"
560,3151,,,Abierto,"fecha_invalida,monto_invalido"
561,8177,,3376.64,Cerrado,fecha_invalida
562,15715,,,Cerrado,"fecha_invalida,monto_invalido"
563,18040,2025-08-03,,Rechazado,monto_invalido
564,21307,,11816.47,Rechazado,fecha_invalida
565,19612,,,Rechazado,"fecha_invalida,monto_invalido"
566,7229,,8102.59,Rechazado,fecha_invalida
567,21236,,542.33,nan,fecha_invalida
568,7634,,,nan,"fecha_invalida,monto_invalido"
569,13976,2025-12-08,,nan,monto_invalido
570,25508,,,Cerrado,"fecha_invalida,monto_invalido"
