id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado,motivo_rechazo
53,,1962,79,1,3,0.0,305.78,265915.68,fecha_invalida
54,,2969,3,4,3,421.01,63.89,13911.37,fecha_invalida
55,,2340,26,10,6,1954.65,431.08,150219.71,fecha_invalida
56,,2767,28,7,8,73.11,,,"fecha_invalida,monto_invalido"
57,,852,4,13,1,,,,"fecha_invalida,prima_invalida,monto_invalido"
58,,454,6,15,8,,213.26,,"fecha_invalida,prima_invalida,monto_invalido"
59,,1934,18,1,2,1253.51,,149260.92,fecha_invalida
60,,3686,51,6,2,,,,"fecha_invalida,prima_invalida,monto_invalido"
61,,1759,23,4,12,142.93,13.14,,"fecha_invalida,monto_invalido"
62,,584,36,4,8,695.24,63.23,,"fecha_invalida,monto_invalido"
63,,3691,55,10,7,-1680.49,242.41,238110.36,fecha_invalida
64,,1081,75,8,1,109.72,17.48,,"fecha_invalida,monto_invalido"
65,,697,67,1,10,302.71,462.2,,"fecha_invalida,monto_invalido"
67,,1246,31,6,5,,359.79,258570.08,"fecha_invalida,prima_invalida"
68,,475,43,13,3,,187.12,235726.94,"fecha_invalida,prima_invalida"
69,,2178,76,1,4,,20.56,,"fecha_invalida,prima_invalida,monto_invalido"
70,,730,78,15,4,,146.22,,"fecha_invalida,prima_invalida,monto_invalido"
71,,3656,77,10,2,258.6,22.67,,"fecha_invalida,monto_invalido"
72,,2797,14,2,7,51.1,8.38,,"fecha_invalida,monto_invalido"
73,2025-03-01,841,26,7,12,,,,"prima_invalida,monto_invalido"
74,2025-01-04,2814,64,5,7,,358.53,279782.46,prima_invalida
75,,1345,51,15,1,,,,"fecha_invalida,prima_invalida,monto_invalido"
76,,2671,14,9,5,,381.13,,"fecha_invalida,prima_invalida,monto_invalido"
77,,2386,79,14,12,1324.27,144.93,92440.33,fecha_invalida
78,,698,55,3,7,1298.49,305.47,,"fecha_invalida,monto_invalido"
79,,2375,66,4,10,,,142122.95,"fecha_invalida,prima_invalida"
80,,914,64,6,7,,282.52,44463.35,"fecha_invalida,prima_invalida"
81,,2745,13,13,11,1688.38,,,"fecha_invalida,monto_invalido"
82,2025-07-18,2392,21,3,4,0.0,83.63,,monto_invalido
83,,357,18,15,11,,182.21,,"fecha_invalida,prima_invalida,monto_invalido"
84,,772,18,3,4,572.28,84.39,41526.61,fecha_invalida
85,,151,6,7,2,967.01,62.59,92114.86,fecha_invalida
86,,3714,32,15,11,1214.28,293.02,,"fecha_invalida,monto_invalido"
87,,2217,98,11,12,,,94028.85,"fecha_invalida,prima_invalida"
88,,1671,28,12,6,885.97,132.85,,"fecha_invalida,monto_invalido"
89,,2963,77,1,5,1372.83,,,"fecha_invalida,monto_invalido"
90,,753,20,1,10,916.04,219.65,129872.69,fecha_invalida
91,,2778,14,3,1,158.84,26.5,9146.22,fecha_invalida
92,,2659,25,11,4,,325.08,191582.82,"fecha_invalida,prima_invalida"
93,,919,4,8,2,361.25,84.51,9964.1,fecha_invalida
94,,222,41,5,10,,169.15,,"fecha_invalida,prima_invalida,monto_invalido"
95,,106,11,3,7,1953.28,313.86,356037.27,fecha_invalida
96,,1708,3,11,7,1777.93,,,"fecha_invalida,monto_invalido"
97,,2027,71,15,9,558.7,77.27,,"fecha_invalida,monto_invalido"
98,,2106,65,10,8,1909.32,153.95,143459.97,fecha_invalida
100,,2627,52,7,5,,487.51,,"fecha_invalida,prima_invalida,monto_invalido"
101,,976,48,11,11,,125.52,93713.3,"fecha_invalida,prima_invalida"
102,,5,66,13,12,1386.05,204.0,251864.93,fecha_invalida
103,,927,29,7,9,1179.01,231.56,150298.39,fecha_invalida
104,2025-10-20,3524,7,11,8,149.44,10.64,,monto_invalido
105,,2797,80,3,1,209.72,52.0,,"fecha_invalida,monto_invalido"
106,,2438,58,12,5,546.09,110.32,44986.21,fecha_invalida
107,,1165,15,6,12,,50.04,87472.59,"fecha_invalida,prima_invalida"
108,,1620,74,13,11,1235.45,155.5,,"fecha_invalida,monto_invalido"
109,,2693,6,13,6,,184.48,,"fecha_invalida,prima_invalida,monto_invalido"
110,,185,46,8,5,,31.43,74435.27,"fecha_invalida,prima_invalida"
111,,2833,8,15,12,,222.8,185637.48,"fecha_invalida,prima_invalida"
112,,1463,74,7,2,1025.16,94.24,,"fecha_invalida,monto_invalido"
113,2025-12-03,1715,34,3,6,,,,"prima_invalida,monto_invalido"
114,,1155,61,11,5,1237.26,,124263.17,fecha_invalida
115,,739,11,5,7,203.12,17.6,,"fecha_invalida,monto_invalido"
116,,2659,80,8,10,,307.82,376125.57,"fecha_invalida,prima_invalida"
117,,2501,18,12,10,,,188099.37,"fecha_invalida,prima_invalida"
118,,2114,78,1,2,348.72,36.88,68328.79,fecha_invalida
119,,1678,71,13,7,,,,"fecha_invalida,prima_invalida,monto_invalido"
120,,419,49,1,3,1427.78,,,"fecha_invalida,monto_invalido"
121,,1222,59,14,6,,,141963.43,"fecha_invalida,prima_invalida"
122,2025-08-02,318,41,12,5,726.1,161.45,,monto_invalido
123,2025-09-25,721,44,3,2,,437.85,,"prima_invalida,monto_invalido"
124,,2155,40,3,9,,83.53,,"fecha_invalida,prima_invalida,monto_invalido"
125,,1886,12,13,12,,127.08,234686.27,"fecha_invalida,prima_invalida"
126,,1595,18,7,9,,291.84,,"fecha_invalida,prima_invalida,monto_invalido"
127,,1793,11,12,1,843.06,154.42,,"fecha_invalida,monto_invalido"
128,,711,25,11,3,,379.89,175091.88,"fecha_invalida,prima_invalida"
129,,1894,29,12,11,1354.93,102.04,,"fecha_invalida,monto_invalido"
130,,1384,38,15,7,,208.25,155755.8,"fecha_invalida,prima_invalida"
131,,1953,72,9,2,751.39,,,"fecha_invalida,monto_invalido"
132,2025-05-23,2110,34,12,11,890.91,177.49,,monto_invalido
133,,1793,4,1,11,1705.58,389.27,107532.29,fecha_invalida
134,,1690,4,11,9,,,42728.3,"fecha_invalida,prima_invalida"
135,,1540,19,9,4,533.11,71.9,,"fecha_invalida,monto_invalido"
136,,1873,36,14,4,685.85,97.17,,"fecha_invalida,monto_invalido"
137,,2544,48,8,12,1837.21,337.23,,"fecha_invalida,monto_invalido"
138,,984,50,3,10,,95.54,,"fecha_invalida,prima_invalida,monto_invalido"
139,,2715,47,3,1,1887.69,,,"fecha_invalida,monto_invalido"
140,2025-02-17,1227,48,8,5,,163.56,,"prima_invalida,monto_invalido"
141,,2101,71,3,5,,167.05,,"fecha_invalida,prima_invalida,monto_invalido"
142,,821,56,4,5,,272.72,,"fecha_invalida,prima_invalida,monto_invalido"
143,,2342,41,10,10,169.2,9.37,31558.02,fecha_invalida
144,,354,71,15,10,219.57,53.42,,"fecha_invalida,monto_invalido"
145,,2461,80,7,12,393.01,55.94,,"fecha_invalida,monto_invalido"
146,2025-12-23,2899,27,9,2,,,143545.57,prima_invalida
147,,1556,53,5,6,357.68,26.25,,"fecha_invalida,monto_invalido"
148,,848,13,8,3,505.33,68.83,88566.14,fecha_invalida
149,,892,71,15,10,229.87,16.79,,"fecha_invalida,monto_invalido"
150,,1080,76,6,7,104.24,15.49,6890.09,fecha_invalida
151,,927,10,14,7,,139.89,138665.57,"fecha_invalida,prima_invalida"
152,,2349,79,7,4,0.0,,,"fecha_invalida,monto_invalido"
153,,1016,28,12,8,165.57,24.61,,"fecha_invalida,monto_invalido"
154,2025-04-12,1023,24,4,5,,,,"prima_invalida,monto_invalido"
155,,1918,43,10,12,,9.96,,"fecha_invalida,prima_invalida,monto_invalido"
156,,462,28,10,2,1793.62,,,"fecha_invalida,monto_invalido"
157,,2910,63,4,7,,,96305.3,"fecha_invalida,prima_invalida"
158,,1121,67,7,12,985.24,189.5,,"fecha_invalida,monto_invalido"
159,2025-09-04,1637,5,2,5,748.78,82.65,,monto_invalido
160,,1554,9,2,7,1101.08,81.1,,"fecha_invalida,monto_invalido"
161,,1392,35,7,6,,155.21,167233.6,"fecha_invalida,prima_invalida"
162,,1094,4,4,5,1760.71,326.32,,"fecha_invalida,monto_invalido"
163,,354,12,10,7,,101.17,142724.83,"fecha_invalida,prima_invalida"
165,,2934,78,10,2,842.46,196.92,,"fecha_invalida,monto_invalido"
166,2025-05-09,2302,35,4,12,,409.1,,"prima_invalida,monto_invalido"
167,,743,77,6,5,605.91,121.04,58769.89,fecha_invalida
168,,691,65,1,1,268.88,65.44,,"fecha_invalida,monto_invalido"
169,,1166,41,10,3,,93.67,84578.57,"fecha_invalida,prima_invalida"
170,,2800,6,1,2,917.66,131.25,177908.61,fecha_invalida
171,,2320,39,9,5,225.23,,,"fecha_invalida,monto_invalido"
172,,693,69,13,8,1440.24,319.57,199499.58,fecha_invalida
173,,1935,13,14,2,,116.08,128228.92,"fecha_invalida,prima_invalida"
174,,9,63,12,10,,70.76,11842.93,"fecha_invalida,prima_invalida"
175,,2362,59,6,5,386.3,78.61,,"fecha_invalida,monto_invalido"
176,,2956,62,5,9,,333.57,149134.25,"fecha_invalida,prima_invalida"
177,,355,72,14,1,,,,"fecha_invalida,prima_invalida,monto_invalido"
178,,833,71,4,10,1310.85,160.19,41123.88,fecha_invalida
179,,2432,3,8,1,,240.54,260639.14,"fecha_invalida,prima_invalida"
180,,2894,5,10,9,507.43,,,"fecha_invalida,monto_invalido"
181,,1945,37,11,5,,210.72,,"fecha_invalida,prima_invalida,monto_invalido"
182,,1953,74,6,1,1725.25,,94698.24,fecha_invalida
183,,513,50,11,5,723.36,174.04,62801.44,fecha_invalida
184,,1373,12,7,9,,128.95,49518.48,"fecha_invalida,prima_invalida"
185,2026-01-04,1468,27,7,12,,243.81,,"prima_invalida,monto_invalido"
186,,2129,30,8,3,,388.9,298913.7,"fecha_invalida,prima_invalida"
187,,2226,75,5,3,1327.21,,,"fecha_invalida,monto_invalido"
188,,1151,47,7,11,,102.66,130925.71,"fecha_invalida,prima_invalida"
189,,1725,74,11,7,1103.69,252.45,151711.76,fecha_invalida
190,2025-12-07,2854,70,13,4,953.96,,,monto_invalido
191,2025-11-12,837,34,12,3,,173.48,144639.86,prima_invalida
192,,1525,3,4,3,234.48,35.63,36663.52,fecha_invalida
193,,1786,56,15,12,,,,"fecha_invalida,prima_invalida,monto_invalido"
194,,583,72,10,6,1462.11,99.14,,"fecha_invalida,monto_invalido"
195,,1641,31,15,11,911.44,,,"fecha_invalida,monto_invalido"
196,,1172,54,6,7,1568.46,283.24,87378.2,fecha_invalida
197,,1558,49,4,11,,,,"fecha_invalida,prima_invalida,monto_invalido"
198,,876,77,2,7,1351.69,68.96,,"fecha_invalida,monto_invalido"
199,,1268,39,15,8,1558.42,251.72,191348.34,fecha_invalida
200,2026-02-12,239,79,11,1,1218.97,181.78,,monto_invalido
201,,2011,32,12,5,,209.81,,"fecha_invalida,prima_invalida,monto_invalido"
202,,2346,4,11,6,,,,"fecha_invalida,prima_invalida,monto_invalido"
203,,1121,32,14,5,741.78,127.03,,"fecha_invalida,monto_invalido"
204,2025-11-27,2424,50,5,7,,388.18,80347.81,prima_invalida
205,,419,46,7,1,1653.96,249.55,,"fecha_invalida,monto_invalido"
206,,241,28,8,7,556.14,58.53,54199.33,fecha_invalida
207,,974,74,14,11,839.87,94.57,69882.74,fecha_invalida
208,,3614,78,4,4,472.52,36.01,,"fecha_invalida,monto_invalido"
209,2026-02-07,1974,25,13,9,72.55,18.01,,monto_invalido
210,,2680,12,10,5,,,,"fecha_invalida,prima_invalida,monto_invalido"
211,,1795,11,9,7,,237.61,171128.94,"fecha_invalida,prima_invalida"
212,,2876,13,10,7,213.27,,12711.02,fecha_invalida
213,,214,28,8,11,192.43,45.37,21029.68,fecha_invalida
214,,743,54,13,12,306.05,17.31,,"fecha_invalida,monto_invalido"
215,2025-02-26,483,71,7,1,,104.78,58056.65,prima_invalida
216,,1330,46,10,12,,,,"fecha_invalida,prima_invalida,monto_invalido"
217,,432,3,15,10,1422.59,251.31,174594.04,fecha_invalida
218,,3630,1,9,2,,88.01,,"fecha_invalida,prima_invalida,monto_invalido"
219,,1052,5,13,9,,176.78,,"fecha_invalida,prima_invalida,monto_invalido"
220,,1871,34,6,7,,144.19,,"fecha_invalida,prima_invalida,monto_invalido"
222,,1600,78,2,10,1622.52,144.49,60407.59,fecha_invalida
223,,1312,75,15,1,312.76,,44896.28,fecha_invalida
224,,777,40,10,9,298.58,63.17,,"fecha_invalida,monto_invalido"
225,,645,64,12,8,,180.18,,"fecha_invalida,prima_invalida,monto_invalido"
226,,832,44,3,6,1664.22,213.11,43423.44,fecha_invalida
227,,232,44,13,3,66.1,8.06,,"fecha_invalida,monto_invalido"
228,,2555,30,5,11,341.36,395.85,,"fecha_invalida,monto_invalido"
229,,2625,10,5,1,1624.52,,,"fecha_invalida,monto_invalido"
231,,2790,73,7,3,,,161771.05,"fecha_invalida,prima_invalida"
232,,1421,17,7,4,,170.23,,"fecha_invalida,prima_invalida,monto_invalido"
233,,2619,42,4,6,277.67,63.81,,"fecha_invalida,monto_invalido"
234,,2270,68,3,9,,157.51,,"fecha_invalida,prima_invalida,monto_invalido"
235,,2895,65,8,2,,,193621.53,"fecha_invalida,prima_invalida"
236,,2906,18,7,3,235.8,42.67,25121.58,fecha_invalida
237,2025-02-11,1137,37,6,3,,268.64,106698.49,prima_invalida
238,,1485,30,4,4,,368.63,,"fecha_invalida,prima_invalida,monto_invalido"
239,,1236,77,10,8,760.38,,111154.53,fecha_invalida
240,,536,15,6,10,,180.09,,"fecha_invalida,prima_invalida,monto_invalido"
241,,657,22,3,4,,199.83,,"fecha_invalida,prima_invalida,monto_invalido"
242,,1884,61,12,8,548.88,77.84,,"fecha_invalida,monto_invalido"
243,2025-10-09,634,16,14,3,,283.81,,"prima_invalida,monto_invalido"
244,,1804,18,7,5,,133.24,81691.01,"fecha_invalida,prima_invalida"
245,,2704,51,1,5,,274.71,41044.61,"fecha_invalida,prima_invalida"
246,,2695,40,14,7,735.39,59.42,,"fecha_invalida,monto_invalido"
247,,924,49,5,11,,131.17,274013.46,"fecha_invalida,prima_invalida"
248,,1011,64,10,4,1846.72,,320537.24,fecha_invalida
249,,1500,73,4,6,,,,"fecha_invalida,prima_invalida,monto_invalido"
250,,1771,63,14,3,424.38,72.81,,"fecha_invalida,monto_invalido"
251,,1262,68,1,5,601.96,120.32,,"fecha_invalida,monto_invalido"
252,,1575,33,14,8,1422.87,76.42,,"fecha_invalida,monto_invalido"
253,,1563,59,10,10,792.74,145.28,71091.98,fecha_invalida
254,,917,23,1,6,,132.79,,"fecha_invalida,prima_invalida,monto_invalido"
255,,2003,60,1,2,275.48,,,"fecha_invalida,monto_invalido"
256,,2083,71,12,9,,326.26,,"fecha_invalida,prima_invalida,monto_invalido"
257,,2855,25,14,7,,132.4,,"fecha_invalida,prima_invalida,monto_invalido"
258,,1821,50,7,10,555.6,92.6,,"fecha_invalida,monto_invalido"
259,,148,17,5,1,,,,"fecha_invalida,prima_invalida,monto_invalido"
260,2025-01-14,971,57,13,6,595.33,132.98,,monto_invalido
261,,2956,78,2,4,843.81,106.28,,"fecha_invalida,monto_invalido"
262,,1441,1,12,7,,,,"fecha_invalida,prima_invalida,monto_invalido"
263,,828,38,15,7,961.19,172.58,65328.26,fecha_invalida
264,,2337,80,8,5,267.35,45.16,43006.11,fecha_invalida
265,,184,62,13,9,264.84,,,"fecha_invalida,monto_invalido"
266,,1750,12,5,5,469.18,53.62,82199.39,fecha_invalida
267,,761,60,1,12,836.8,,,"fecha_invalida,monto_invalido"
268,,1635,13,14,4,1161.47,87.66,,"fecha_invalida,monto_invalido"
269,,1685,65,8,1,0.0,132.5,112445.07,fecha_invalida
270,,168,64,1,8,,,153797.15,"fecha_invalida,prima_invalida"
271,,1773,43,11,5,1395.69,,,"fecha_invalida,monto_invalido"
272,,2717,50,13,5,529.12,126.8,,"fecha_invalida,monto_invalido"
273,,2346,41,12,10,470.44,42.33,,"fecha_invalida,monto_invalido"
274,,222,16,12,6,359.96,,,"fecha_invalida,monto_invalido"
275,,1637,46,5,1,1958.02,109.4,,"fecha_invalida,monto_invalido"
276,,482,19,14,11,1238.05,,149205.72,fecha_invalida
278,,1832,27,10,9,,150.96,,"fecha_invalida,prima_invalida,monto_invalido"
279,,770,66,14,3,901.35,,39362.62,fecha_invalida
281,,1387,2,14,12,,234.29,108632.52,"fecha_invalida,prima_invalida"
282,,1190,6,4,6,102.19,24.17,,"fecha_invalida,monto_invalido"
283,,254,65,13,12,311.5,25.08,,"fecha_invalida,monto_invalido"
284,,1163,16,3,4,1052.91,83.89,,"fecha_invalida,monto_invalido"
285,2025-07-06,2457,37,9,5,,229.02,119625.01,prima_invalida
286,,631,43,6,10,480.94,110.77,,"fecha_invalida,monto_invalido"
287,,605,62,7,6,434.82,27.2,,"fecha_invalida,monto_invalido"
288,2025-07-06,1378,72,4,5,738.72,128.9,,monto_invalido
289,,2696,62,12,7,,52.21,,"fecha_invalida,prima_invalida,monto_invalido"
290,,326,61,2,6,,339.8,,"fecha_invalida,prima_invalida,monto_invalido"
291,,281,54,1,9,,,132725.63,"fecha_invalida,prima_invalida"
292,,1514,27,3,1,365.44,39.1,9478.09,fecha_invalida
293,2025-10-28,175,24,15,1,,,,"prima_invalida,monto_invalido"
294,,2129,13,13,7,,212.49,,"fecha_invalida,prima_invalida,monto_invalido"
295,,764,52,7,5,987.43,,164812.9,fecha_invalida
296,,1812,77,13,11,,47.2,,"fecha_invalida,prima_invalida,monto_invalido"
297,,1573,79,4,10,1252.38,146.52,45753.53,fecha_invalida
298,,2390,2,14,9,,396.87,,"fecha_invalida,prima_invalida,monto_invalido"
299,,2724,18,5,7,1142.36,88.5,,"fecha_invalida,monto_invalido"
300,,1233,67,6,8,1027.81,61.97,69674.38,fecha_invalida
301,,1579,72,11,1,,18.74,4988.88,"fecha_invalida,prima_invalida"
302,,679,60,1,6,,86.07,,"fecha_invalida,prima_invalida,monto_invalido"
303,,2931,13,14,6,317.71,31.74,11090.61,fecha_invalida
304,,917,41,15,9,673.03,106.8,,"fecha_invalida,monto_invalido"
305,,2007,76,12,12,142.86,161.2,8185.49,fecha_invalida
306,2025-07-06,619,17,10,2,,129.63,,"prima_invalida,monto_invalido"
307,,78,24,6,10,1259.85,87.1,,"fecha_invalida,monto_invalido"
308,,905,6,7,2,71.14,14.24,,"fecha_invalida,monto_invalido"
309,,980,20,1,5,529.37,91.01,,"fecha_invalida,monto_invalido"
310,,355,53,6,6,,139.7,48271.62,"fecha_invalida,prima_invalida"
311,,236,19,8,12,662.47,34.15,,"fecha_invalida,monto_invalido"
312,,1894,10,13,2,,129.58,,"fecha_invalida,prima_invalida,monto_invalido"
313,,2852,30,1,11,1736.83,,,"fecha_invalida,monto_invalido"
314,,444,68,4,1,,28.88,48398.37,"fecha_invalida,prima_invalida"
315,,282,9,6,12,644.32,97.22,,"fecha_invalida,monto_invalido"
316,,3776,1,6,8,,177.07,106644.92,"fecha_invalida,prima_invalida"
317,2025-01-17,2621,19,2,8,70.91,17.25,,monto_invalido
318,,380,58,11,9,779.52,,79294.65,fecha_invalida
319,,2874,9,1,11,726.96,,122532.96,fecha_invalida
320,,2637,64,1,9,,261.15,,"fecha_invalida,prima_invalida,monto_invalido"
321,,830,48,8,1,1344.7,,,"fecha_invalida,monto_invalido"
323,,2484,29,7,1,,76.06,83832.92,"fecha_invalida,prima_invalida"
324,,689,68,1,6,,391.8,260739.67,"fecha_invalida,prima_invalida"
325,,531,13,2,10,,126.53,,"fecha_invalida,prima_invalida,monto_invalido"
326,,2429,22,3,1,740.5,,,"fecha_invalida,monto_invalido"
328,,2035,34,9,8,,201.21,,"fecha_invalida,prima_invalida,monto_invalido"
329,,1584,78,10,10,965.87,,,"fecha_invalida,monto_invalido"
331,,2628,51,9,3,,,,"fecha_invalida,prima_invalida,monto_invalido"
332,,2249,63,5,8,,,,"fecha_invalida,prima_invalida,monto_invalido"
333,,2372,29,2,8,,198.89,,"fecha_invalida,prima_invalida,monto_invalido"
334,,1976,64,12,8,,255.61,,"fecha_invalida,prima_invalida,monto_invalido"
335,,282,43,8,6,,18.72,20333.48,"fecha_invalida,prima_invalida"
337,2025-07-24,3574,35,4,10,1304.27,136.32,,monto_invalido
338,2025-06-28,1141,75,3,2,1845.6,92.8,,monto_invalido
339,,2571,76,4,6,924.18,222.4,,"fecha_invalida,monto_invalido"
340,,1514,51,1,11,230.39,56.57,21695.02,fecha_invalida
341,,14,23,2,4,716.28,71.72,,"fecha_invalida,monto_invalido"
342,,1132,50,7,1,,,343602.22,"fecha_invalida,prima_invalida"
343,,1809,74,13,6,261.29,22.99,11502.8,fecha_invalida
344,,1385,52,2,7,,243.44,,"fecha_invalida,prima_invalida,monto_invalido"
345,2025-08-11,1606,47,12,1,323.93,38.26,,monto_invalido
346,,1529,61,9,3,,220.03,,"fecha_invalida,prima_invalida,monto_invalido"
347,,1108,65,2,5,,13.6,,"fecha_invalida,prima_invalida,monto_invalido"
348,,1317,20,1,2,,356.84,,"fecha_invalida,prima_invalida,monto_invalido"
349,,2133,51,7,6,,,182975.67,"fecha_invalida,prima_invalida"
350,,1119,74,2,6,423.21,33.82,,"fecha_invalida,monto_invalido"
351,,2186,22,15,4,615.15,97.58,115731.56,fecha_invalida
352,,335,32,13,3,69.55,5.42,4481.9,fecha_invalida
353,,1274,18,10,12,435.91,108.35,81976.35,fecha_invalida
354,,2871,64,8,3,196.33,27.44,15872.78,fecha_invalida
355,,2758,77,12,8,1934.73,,,"fecha_invalida,monto_invalido"
356,2025-10-31,729,63,14,7,,,,"prima_invalida,monto_invalido"
357,,2655,25,11,11,374.5,81.21,44517.01,fecha_invalida
358,,2665,30,2,9,,154.02,,"fecha_invalida,prima_invalida,monto_invalido"
359,,3785,8,6,1,,,,"fecha_invalida,prima_invalida,monto_invalido"
360,2025-04-12,3666,59,7,9,861.49,,,monto_invalido
361,,702,21,15,6,1186.26,,,"fecha_invalida,monto_invalido"
362,,2822,46,2,12,,332.01,,"fecha_invalida,prima_invalida,monto_invalido"
363,,2480,2,14,6,,148.66,,"fecha_invalida,prima_invalida,monto_invalido"
364,,707,28,11,9,268.47,41.13,26697.38,fecha_invalida
365,,2794,41,15,3,1910.72,141.4,,"fecha_invalida,monto_invalido"
366,,844,31,2,1,,300.46,97957.19,"fecha_invalida,prima_invalida"
367,,2182,13,9,1,524.74,70.05,,"fecha_invalida,monto_invalido"
368,,2229,12,8,1,312.7,32.01,,"fecha_invalida,monto_invalido"
369,,1959,2,4,11,300.3,16.25,,"fecha_invalida,monto_invalido"
370,,185,3,5,7,53.79,2.82,3905.87,fecha_invalida
371,,602,17,11,4,,,,"fecha_invalida,prima_invalida,monto_invalido"
372,2026-01-02,2269,59,8,7,,,,"prima_invalida,monto_invalido"
373,,1870,21,1,5,1038.02,98.58,,"fecha_invalida,monto_invalido"
374,,465,69,9,11,109.71,26.59,,"fecha_invalida,monto_invalido"
375,,1358,80,4,10,,63.4,,"fecha_invalida,prima_invalida,monto_invalido"
376,,3527,73,6,5,110.64,14.62,,"fecha_invalida,monto_invalido"
377,,2290,36,3,1,1389.23,,,"fecha_invalida,monto_invalido"
378,,1868,60,12,9,1755.33,276.66,288662.01,fecha_invalida
379,,573,2,15,5,92.25,18.56,,"fecha_invalida,monto_invalido"
380,,1145,13,15,1,,471.37,,"fecha_invalida,prima_invalida,monto_invalido"
381,,243,34,10,9,858.13,57.01,,"fecha_invalida,monto_invalido"
382,,1204,29,13,1,,73.38,,"fecha_invalida,prima_invalida,monto_invalido"
383,,234,34,13,4,,73.81,108825.24,"fecha_invalida,prima_invalida"
384,,1158,68,2,2,,346.31,,"fecha_invalida,prima_invalida,monto_invalido"
385,,2090,16,3,8,766.05,50.66,127959.71,fecha_invalida
386,,117,43,4,7,,21.8,43701.61,"fecha_invalida,prima_invalida"
387,,48,63,2,4,,267.57,84325.7,"fecha_invalida,prima_invalida"
388,2025-12-01,1001,47,14,4,,,,"prima_invalida,monto_invalido"
389,,581,53,13,12,216.28,,,"fecha_invalida,monto_invalido"
390,,2187,14,5,10,,,,"fecha_invalida,prima_invalida,monto_invalido"
